No.,Time,Source,Destination,Protocol,Protocol,Protocol,Protocol,,,time 1,time 2,delay,,delay 1,delay 2,jitter 
72,1.72268,192.168.43.13,106.10.236.146,TCP,TCP,TCP,TCP,,,1.72268,1.72279,0.00011,,-0.00013,0.00024,0.00037
73,1.72279,192.168.43.13,106.10.236.146,TCP,TCP,TCP,TCP,,,1.72279,1.72303,0.00024,,0.00014,0.0001,-0.00004
74,1.72303,192.168.43.13,106.10.236.146,TCP,TCP,TCP,TCP,,,1.72303,1.72313,0.0001,,-0.00026,0.00036,0.00062
75,1.72313,192.168.43.13,106.10.236.146,TCP,TCP,TCP,TCP,,,1.72313,1.72349,0.00036,,0.00019,0.00017,-0.00001
76,1.72349,192.168.43.13,107.160.33.185,TCP,TCP,TCP,TCP,,,1.72349,1.72366,0.00017,,0.00004,0.00013,0.00009
77,1.72366,192.168.43.13,34.96.70.1,TCP,TCP,TCP,TCP,,,1.72366,1.72379,0.00013,,-0.00007,0.0002,0.00026
78,1.72379,192.168.43.13,151.101.9.253,TCP,TCP,TCP,TCP,,,1.72379,1.72399,0.0002,,0.00001,0.00019,0.00019
79,1.72399,192.168.43.13,119.81.99.200,TCP,TCP,TCP,TCP,,,1.72399,1.72418,0.00019,,-0.00005,0.00024,0.0003
80,1.72418,192.168.43.13,104.26.11.25,TCP,TCP,TCP,TCP,,,1.72418,1.72442,0.00024,,0.00014,0.0001,-0.00004
81,1.72442,192.168.43.13,35.213.120.246,TCP,TCP,TCP,TCP,,,1.72442,1.72452,0.0001,,-0.00021,0.00031,0.00053
82,1.72452,192.168.43.13,35.213.120.246,TCP,TCP,TCP,TCP,,,1.72452,1.72484,0.00031,,0.00012,0.00019,0.00007
83,1.72484,192.168.43.13,35.213.109.249,TCP,TCP,TCP,TCP,,,1.72484,1.72503,0.00019,,0.00007,0.00012,0.00004
84,1.72503,192.168.43.13,35.213.109.249,TCP,TCP,TCP,TCP,,,1.72503,1.72515,0.00012,,-0.00011,0.00023,0.00034
85,1.72515,192.168.43.13,35.213.109.249,TCP,TCP,TCP,TCP,,,1.72515,1.72537,0.00023,,0.00006,0.00017,0.00011
86,1.72537,192.168.43.13,74.125.24.132,TCP,TCP,TCP,TCP,,,1.72537,1.72554,0.00017,,-0.16408,0.16425,0.32834
87,1.72554,192.168.43.13,74.125.24.132,TCP,TCP,TCP,TCP,,,1.72554,1.8898,0.16425,,0.16415,0.00011,-0.16404
91,1.8898,104.26.11.25,192.168.43.13,TCP,TCP,TCP,TCP,,,1.8898,1.8899,0.00011,,-0.00001,0.00011,0.00012
92,1.8899,104.18.101.194,192.168.43.13,TCP,TCP,TCP,TCP,,,1.8899,1.89001,0.00011,,-0.00107,0.00119,0.00226
93,1.89001,192.168.43.13,104.18.101.194,TCP,TCP,TCP,TCP,,,1.89001,1.8912,0.00119,,-0.00464,0.00582,0.01046
94,1.8912,192.168.43.13,173.239.59.81,TCP,TCP,TCP,TCP,,,1.8912,1.89702,0.00582,,0.00532,0.0005,-0.00482
95,1.89702,103.43.90.19,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89702,1.89752,0.0005,,0.0005,0,-0.0005
96,1.89752,74.125.24.157,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,0,0,0
97,1.89752,119.161.10.11,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,0,0,0
98,1.89752,103.43.90.180,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,0,0,0
99,1.89752,151.101.9.253,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,0,0,0
100,1.89752,18.141.44.70,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,0,0,0
101,1.89752,172.67.74.85,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,0,0,0
102,1.89752,151.101.9.253,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,0,0,0
103,1.89752,106.10.236.146,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,0,0,0
104,1.89752,74.125.24.132,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,0,0,0
105,1.89752,204.246.164.65,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89752,0,,-0.0003,0.0003,0.00059
106,1.89752,107.178.244.193,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89752,1.89782,0.0003,,0.00015,0.00014,-0.00001
107,1.89782,192.168.43.13,74.125.24.157,TCP,TCP,TCP,TCP,,,1.89782,1.89796,0.00014,,0.00003,0.00011,0.00007
108,1.89796,192.168.43.13,119.161.10.11,TCP,TCP,TCP,TCP,,,1.89796,1.89807,0.00011,,-0.00006,0.00016,0.00022
109,1.89807,192.168.43.13,151.101.9.253,TCP,TCP,TCP,TCP,,,1.89807,1.89823,0.00016,,0.00002,0.00014,0.00011
110,1.89823,192.168.43.13,172.67.74.85,TCP,TCP,TCP,TCP,,,1.89823,1.89837,0.00014,,0,0.00014,0.00014
111,1.89837,192.168.43.13,151.101.9.253,TCP,TCP,TCP,TCP,,,1.89837,1.89851,0.00014,,0.00003,0.00011,0.00007
112,1.89851,192.168.43.13,74.125.24.132,TCP,TCP,TCP,TCP,,,1.89851,1.89862,0.00011,,0.00001,0.0001,0.00009
113,1.89862,192.168.43.13,204.246.164.65,TCP,TCP,TCP,TCP,,,1.89862,1.89872,0.0001,,-0.00016,0.00026,0.00041
114,1.89872,192.168.43.13,107.178.244.193,TCP,TCP,TCP,TCP,,,1.89872,1.89897,0.00026,,0.00026,0,-0.00026
115,1.89897,43.250.0.199,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89897,1.89897,0,,0,0,0
116,1.89897,104.26.11.25,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89897,1.89897,0,,0,0,0
117,1.89897,103.231.98.194,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89897,1.89897,0,,0,0,0
118,1.89897,103.231.98.194,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89897,1.89897,0,,0,0,0
119,1.89897,13.250.63.93,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89897,1.89897,0,,0,0,0
120,1.89897,74.125.24.132,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89897,1.89897,0,,-0.00016,0.00016,0.00032
121,1.89897,119.81.99.200,192.168.43.13,TCP,TCP,TCP,TCP,,,1.89897,1.89913,0.00016,,0.00002,0.00014,0.00012
122,1.89913,192.168.43.13,104.26.11.25,TCP,TCP,TCP,TCP,,,1.89913,1.89927,0.00014,,-0.00001,0.00015,0.00016
123,1.89927,192.168.43.13,103.231.98.194,TCP,TCP,TCP,TCP,,,1.89927,1.89942,0.00015,,0.00004,0.00011,0.00006
124,1.89942,192.168.43.13,74.125.24.132,TCP,TCP,TCP,TCP,,,1.89942,1.89953,0.00011,,-0.00634,0.00644,0.01278
125,1.89953,192.168.43.13,119.81.99.200,TCP,TCP,TCP,TCP,,,1.89953,1.90597,0.00644,,0.00626,0.00018,-0.00608
126,1.90597,106.10.236.147,192.168.43.13,TCP,TCP,TCP,TCP,,,1.90597,1.90615,0.00018,,-0.00006,0.00024,0.00029
127,1.90615,192.168.43.13,106.10.236.147,TCP,TCP,TCP,TCP,,,1.90615,1.90639,0.00024,,0.00024,0,-0.00024
128,1.90639,106.10.236.146,192.168.43.13,TCP,TCP,TCP,TCP,,,1.90639,1.90639,0,,0,0,0
129,1.90639,34.96.70.1,192.168.43.13,TCP,TCP,TCP,TCP,,,1.90639,1.90639,0,,0,0,0
